# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.7916666666666666,0.5,0.20833333333333334,"[5, 3, 39, 14, 37, 14, 40, 3]","[35, 35, 21, 15, 22, 17, 21, 21]","[27, 28, 18, 2, 48, 38, 9, 5]","[10, 25, 12, 49, 44, 29, 41, 28]","[28, 48, 26, 36, 20, 45, 39, 36]"
1,0.7916666666666666,0.5,0.16666666666666666,"[43, 46, 38, 25, 23, 47, 43, 38]","[42, 43, 24, 19, 24, 16, 49, 31]","[4, 20, 29, 46, 7, 29, 0, 48]","[29, 41, 28, 13, 18, 22, 12, 45]","[11, 34, 16, 21, 14, 33, 13, 35]"
2,0.7916666666666666,0.49999999999999994,0.16666666666666666,"[14, 27, 49, 32, 28, 35, 20, 38]","[13, 8, 20, 18, 25, 3, 43, 46]","[37, 20, 26, 2, 8, 31, 22, 6]","[5, 3, 39, 14, 37, 14, 40, 3]","[28, 32, 25, 26, 23, 32, 30, 36]"
3,0.7916666666666666,0.5000000000000001,0.10416666666666667,"[19, 14, 10, 48, 46, 36, 25, 42]","[2, 0, 31, 19, 11, 10, 25, 18]","[29, 39, 27, 28, 37, 40, 28, 37]","[35, 48, 28, 5, 26, 2, 49, 6]","[44, 16, 30, 14, 38, 33, 42, 0]"
4,0.9166666666666666,0.5000000000000001,0.16666666666666666,"[6, 2, 27, 22, 20, 25, 22, 15]","[25, 21, 28, 22, 19, 8, 43, 20]","[16, 16, 4, 37, 32, 39, 15, 47]","[18, 23, 19, 7, 17, 24, 28, 14]","[18, 13, 30, 13, 18, 12, 25, 21]"
5,0.75,0.4999999999999999,0.08333333333333333,"[6, 2, 27, 22, 20, 25, 22, 15]","[13, 13, 15, 39, 44, 26, 18, 31]","[23, 11, 22, 29, 34, 11, 29, 25]","[34, 15, 32, 17, 28, 18, 40, 30]","[21, 32, 17, 18, 37, 19, 27, 33]"
6,0.8333333333333334,0.5,0.20833333333333334,"[12, 17, 16, 27, 32, 31, 37, 36]","[24, 28, 5, 25, 38, 48, 15, 48]","[9, 4, 28, 23, 20, 21, 26, 14]","[21, 12, 23, 20, 13, 21, 32, 37]","[23, 14, 30, 27, 20, 8, 40, 10]"
7,0.8333333333333334,0.5,0.25,"[18, 24, 17, 21, 20, 43, 42, 35]","[17, 21, 20, 18, 32, 15, 26, 23]","[13, 38, 15, 21, 15, 22, 33, 37]","[4, 28, 0, 39, 33, 20, 25, 41]","[33, 17, 16, 17, 50, 33, 13, 28]"
8,0.75,0.5,0.20833333333333334,"[20, 14, 28, 24, 21, 37, 22, 41]","[25, 21, 31, 31, 14, 14, 35, 18]","[20, 41, 21, 49, 43, 0, 20, 35]","[15, 41, 21, 33, 25, 29, 38, 11]","[23, 15, 14, 1, 8, 33, 11, 23]"
9,0.875,0.4999999999999999,0.125,"[22, 5, 44, 20, 1, 29, 33, 14]","[44, 19, 11, 30, 50, 14, 15, 40]","[22, 12, 11, 32, 23, 32, 24, 15]","[14, 45, 0, 47, 19, 6, 12, 35]","[38, 13, 31, 25, 45, 46, 9, 30]"
10,0.75,0.5,0.125,"[12, 21, 18, 19, 18, 37, 29, 5]","[39, 23, 37, 39, 34, 41, 23, 29]","[37, 18, 25, 3, 40, 40, 33, 32]","[25, 19, 11, 30, 23, 30, 22, 19]","[32, 24, 10, 2, 27, 16, 7, 11]"
11,0.7083333333333334,0.4999999999999999,0.25,"[16, 19, 25, 24, 24, 21, 16, 29]","[41, 15, 6, 6, 12, 28, 42, 22]","[6, 29, 36, 12, 25, 11, 9, 34]","[45, 10, 13, 19, 41, 47, 26, 31]","[10, 14, 16, 14, 16, 40, 27, 3]"
12,0.7916666666666666,0.49999999999999994,0.20833333333333334,"[8, 27, 46, 32, 33, 27, 11, 38]","[6, 28, 19, 16, 35, 5, 12, 35]","[40, 18, 20, 32, 41, 15, 4, 38]","[25, 19, 18, 30, 19, 34, 18, 12]","[37, 15, 6, 8, 14, 28, 42, 22]"
13,0.7291666666666666,0.5,0.125,"[12, 30, 25, 21, 33, 11, 38, 31]","[49, 45, 17, 49, 48, 11, 40, 33]","[14, 29, 11, 10, 22, 34, 11, 31]","[7, 17, 10, 7, 6, 38, 12, 6]","[16, 29, 7, 39, 2, 37, 14, 50]"
14,0.75,0.5000000000000001,0.14583333333333334,"[48, 18, 34, 30, 14, 7, 48, 12]","[21, 40, 14, 11, 7, 28, 47, 35]","[6, 25, 41, 43, 23, 40, 42, 29]","[10, 19, 15, 15, 19, 28, 12, 17]","[12, 29, 11, 12, 27, 33, 10, 26]"
15,0.75,0.49999999999999983,0.16666666666666666,"[48, 18, 34, 30, 14, 7, 48, 12]","[10, 33, 23, 16, 39, 39, 21, 28]","[15, 32, 25, 19, 28, 12, 36, 30]","[49, 41, 33, 0, 5, 23, 17, 7]","[16, 29, 26, 31, 49, 23, 31, 38]"
16,0.7916666666666666,0.5,0.14583333333333334,"[16, 14, 26, 28, 16, 21, 37, 19]","[16, 36, 15, 33, 18, 40, 48, 26]","[7, 12, 18, 32, 5, 23, 19, 18]","[27, 26, 23, 22, 21, 22, 21, 20]","[15, 26, 20, 22, 38, 27, 29, 8]"
17,0.7083333333333334,0.5000000000000001,0.22916666666666666,"[20, 22, 4, 30, 32, 26, 19, 49]","[41, 20, 41, 28, 19, 40, 27, 4]","[40, 31, 20, 19, 5, 32, 34, 18]","[12, 30, 28, 31, 43, 21, 24, 35]","[44, 20, 34, 30, 17, 11, 46, 16]"
18,0.8125,0.49999999999999994,0.16666666666666666,"[31, 11, 21, 43, 27, 43, 32, 23]","[20, 22, 10, 31, 32, 26, 22, 43]","[12, 22, 32, 25, 25, 6, 41, 27]","[20, 21, 38, 47, 48, 50, 50, 15]","[14, 37, 18, 32, 49, 44, 39, 10]"
19,0.8541666666666666,0.49999999999999994,0.22916666666666666,"[31, 11, 21, 43, 27, 43, 32, 23]","[26, 22, 29, 3, 30, 38, 43, 1]","[36, 18, 7, 14, 19, 22, 12, 34]","[26, 9, 28, 38, 38, 17, 19, 29]","[16, 18, 5, 7, 37, 49, 22, 45]"
