Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,46.0,5.5,-25.0,"[-82, 82, -19, 17, -69, -17, -31, 89]","[29, 47, 15, 52, 47, -11, -21, 49]","[-84, -10, -42, -22, -67, -100, -8, 76]","[56, -18, -98, 74, -99, -95, -45, 100]","[55, -69, -81, 17, -44, -75, -87, 80]"
1,50.0,9.93,-37.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[-43, 68, 2, 17, -86, 52, 16, 18]","[43, 45, 60, 4, 51, -23, -29, 10]","[40, 52, -15, 21, -96, -92, -43, -60]","[5, -55, -48, 22, -62, -76, -74, 73]"
2,48.0,9.81,-45.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[42, -42, -62, 36, -26, -65, -58, 77]","[-21, 59, 13, 12, -53, 16, 26, 4]","[42, 51, -50, 5, -18, -71, -44, 2]","[-54, 28, -36, 3, -2, -59, -22, -22]"
3,50.0,6.11,-45.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[16, 15, -52, 5, -50, -79, -7, -27]","[-20, 35, -14, -37, -42, -41, -10, 7]","[-14, 39, -9, -38, -41, -38, 4, 1]","[5, -13, -76, -20, -42, -79, -31, -42]"
4,49.0,8.08,-45.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[17, -3, -39, 29, -60, -70, -39, 47]","[55, -61, -81, 33, -50, -76, -81, -99]","[-31, 19, 0, 55, 6, -29, 1, 51]","[-32, 62, -2, 16, -58, 15, 5, 3]"
5,46.0,2.21,-47.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[28, 9, -34, 29, -27, -77, 1, -5]","[14, 11, -68, 17, -78, -75, -22, -31]","[-2, 38, -21, 24, -43, -63, 21, -13]","[56, 32, -48, -24, -46, -73, -18, -16]"
6,50.0,2.53,-45.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[43, 21, -16, 22, -30, -78, -16, -14]","[52, -56, -78, 24, -48, -77, -74, 73]","[31, -9, -18, 30, -40, -33, -5, 20]","[49, 22, -19, -8, -22, -72, -17, -10]"
7,50.0,2.99,-43.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[28, 19, -3, 23, -21, -58, -3, 3]","[55, -59, -79, 21, -48, -77, -79, 77]","[31, -7, -17, 30, -39, -34, -5, 19]","[31, -8, -18, 30, -39, -35, -5, 19]"
8,50.0,-0.05,-45.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[34, 25, -8, 25, -17, -71, -8, -10]","[5, 57, -23, -13, 15, -71, -20, -27]","[46, 64, -75, 0, -32, -75, -3, -4]","[1, 1, -57, -8, -39, -66, -22, -26]"
9,49.0,0.92,-47.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[24, 47, -51, 4, -35, -69, -33, 4]","[25, -9, -69, 21, -66, -79, -32, 15]","[38, 5, -57, 8, -41, -68, -30, 30]","[2, 30, -44, -22, -34, -64, -17, -8]"
10,49.0,1.74,-48.0,"[55, -64, -83, 23, -50, -77, -83, 82]","[-64, 91, -82, 23, -10, -77, -81, -74]","[15, 43, -40, 6, -37, -66, -18, -5]","[24, 40, -54, 3, -38, -70, -28, 5]","[12, 20, -43, 4, -40, -67, -12, -7]"
