Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,0.75,0.5,0.125,"[29, 32, 33, 32, 26, 26, 30, 30]","[26, 34, 32, 29, 28, 31, 29, 26]","[25, 30, 28, 26, 35, 34, 33, 25]","[29, 36, 36, 29, 30, 35, 35, 34]","[34, 33, 31, 25, 27, 33, 31, 36]"
1,0.8125,0.5,0.125,"[27, 33, 33, 44, 50, 35, 34, 3]","[29, 32, 33, 32, 26, 26, 30, 30]","[27, 33, 31, 27, 33, 34, 34, 29]","[26, 34, 32, 29, 28, 31, 29, 26]","[26, 34, 32, 29, 28, 31, 29, 26]"
2,0.75,0.5,0.25,"[27, 33, 24, 39, 42, 34, 3, 23]","[26, 10, 29, 33, 4, 14, 9, 10]","[27, 36, 33, 35, 31, 43, 12, 22]","[27, 33, 33, 44, 50, 35, 34, 3]","[27, 33, 33, 42, 47, 35, 33, 6]"
3,0.75,0.5,0.25,"[14, 3, 29, 27, 24, 14, 8, 35]","[27, 33, 24, 39, 42, 34, 3, 23]","[27, 33, 24, 39, 42, 34, 3, 23]","[44, 35, 2, 40, 40, 40, 23, 13]","[27, 11, 0, 40, 7, 27, 3, 32]"
4,0.625,0.5,0.3125,"[14, 3, 29, 27, 24, 14, 8, 35]","[23, 41, 26, 29, 49, 3, 47, 46]","[18, 13, 27, 31, 30, 21, 6, 31]","[20, 6, 17, 33, 17, 20, 6, 34]","[24, 8, 9, 11, 40, 21, 5, 50]"
5,0.625,0.5,0.25,"[14, 3, 29, 27, 24, 14, 8, 35]","[14, 3, 29, 27, 24, 14, 8, 35]","[14, 3, 29, 27, 24, 47, 8, 35]","[19, 17, 27, 31, 0, 19, 11, 33]","[22, 37, 21, 34, 26, 5, 42, 24]"
6,0.875,0.5,0.1875,"[2, 3, 29, 27, 7, 49, 8, 35]","[49, 26, 24, 32, 13, 18, 42, 28]","[14, 3, 29, 27, 24, 14, 8, 35]","[14, 40, 29, 27, 24, 14, 22, 29]","[25, 14, 11, 3, 25, 23, 19, 11]"
7,0.8125,0.5,0.25,"[2, 3, 29, 27, 7, 49, 8, 35]","[8, 35, 13, 23, 7, 13, 8, 35]","[49, 26, 24, 32, 13, 18, 42, 28]","[49, 26, 24, 32, 13, 18, 42, 28]","[50, 3, 29, 27, 7, 49, 21, 21]"
8,0.75,0.5,0.25,"[2, 3, 29, 27, 7, 49, 8, 35]","[3, 6, 27, 27, 7, 45, 8, 35]","[12, 8, 28, 28, 8, 42, 15, 33]","[13, 21, 25, 44, 20, 25, 35, 18]","[7, 32, 15, 23, 0, 17, 8, 42]"
9,0.6875,0.5,0.1875,"[20, 19, 25, 41, 18, 28, 3, 21]","[2, 3, 29, 27, 7, 49, 8, 35]","[3, 7, 27, 27, 7, 44, 8, 35]","[24, 31, 15, 23, 0, 18, 47, 42]","[1, 8, 27, 30, 47, 2, 12, 41]"
