AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
0,"[47, 38, 43, 33, 22, 2, 39, 8]",ga_gen_20.csv:gen0,430,386,10,435.0
1,"[44, 32, 38, 30, 28, 11, 32, 18]",ga_gen_20.csv:gen2,299,522,5,301.5
2,"[35, 37, 40, 47, 38, 32, 12, 10]",ga_gen_20.csv:gen4,214,607,5,216.5
3,"[50, 23, 12, 31, 20, 22, 19, 15]",ga_gen_20.csv:gen6,401,419,6,404.0
4,"[8, 46, 8, 12, 18, 37, 14, 14]",ga_gen_20.csv:gen8,288,530,8,292.0
5,"[28, 10, 47, 29, 34, 15, 7, 23]",ga_gen_20.csv:gen10,429,394,3,430.5
6,"[33, 5, 41, 38, 48, 14, 23, 48]",ga_gen_20.csv:gen12,387,425,14,394.0
7,"[16, 45, 23, 47, 22, 43, 42, 11]",ga_gen_20.csv:gen14,427,385,14,434.0
8,"[29, 30, 44, 43, 50, 42, 34, 37]",ga_gen_20.csv:gen16,380,431,15,387.5
9,"[41, 39, 32, 33, 49, 8, 9, 3]",ga_gen_20.csv:gen18,414,406,6,417.0
10,"[23, 5, 40, 47, 22, 18, 31, 26]",ga_gen_20.csv:gen19,446,368,12,452.0
11,"[5, 3, 39, 14, 37, 14, 40, 3]",ga_gen_100.csv:gen0,395,419,12,401.0
12,"[14, 27, 49, 32, 28, 35, 20, 38]",ga_gen_100.csv:gen2,336,487,3,337.5
13,"[6, 2, 27, 22, 20, 25, 22, 15]",ga_gen_100.csv:gen4,447,363,16,455.0
14,"[12, 17, 16, 27, 32, 31, 37, 36]",ga_gen_100.csv:gen6,388,429,9,392.5
15,"[20, 14, 28, 24, 21, 37, 22, 41]",ga_gen_100.csv:gen8,401,411,14,408.0
16,"[12, 21, 18, 19, 18, 37, 29, 5]",ga_gen_100.csv:gen10,367,444,15,374.5
17,"[8, 27, 46, 32, 33, 27, 11, 38]",ga_gen_100.csv:gen12,417,405,4,419.0
18,"[48, 18, 34, 30, 14, 7, 48, 12]",ga_gen_100.csv:gen14,433,386,7,436.5
