task_id,idx1,idx2,max_moves
1,0,1,2
2,0,2,2
3,0,3,2
4,0,4,2
5,0,5,2
6,0,6,2
7,0,7,2
8,0,8,2
9,0,9,2
10,0,10,2
11,1,0,2
12,1,2,2
13,1,3,2
14,1,4,2
15,1,5,2
16,1,6,2
17,1,7,2
18,1,8,2
19,1,9,2
20,1,10,2
21,2,0,2
22,2,1,2
23,2,3,2
24,2,4,2
25,2,5,2
26,2,6,2
27,2,7,2
28,2,8,2
29,2,9,2
30,2,10,2
31,3,0,2
32,3,1,2
33,3,2,2
34,3,4,2
35,3,5,2
36,3,6,2
37,3,7,2
38,3,8,2
39,3,9,2
40,3,10,2
41,4,0,2
42,4,1,2
43,4,2,2
44,4,3,2
45,4,5,2
46,4,6,2
47,4,7,2
48,4,8,2
49,4,9,2
50,4,10,2
51,5,0,2
52,5,1,2
53,5,2,2
54,5,3,2
55,5,4,2
56,5,6,2
57,5,7,2
58,5,8,2
59,5,9,2
60,5,10,2
61,6,0,2
62,6,1,2
63,6,2,2
64,6,3,2
65,6,4,2
66,6,5,2
67,6,7,2
68,6,8,2
69,6,9,2
70,6,10,2
71,7,0,2
72,7,1,2
73,7,2,2
74,7,3,2
75,7,4,2
76,7,5,2
77,7,6,2
78,7,8,2
79,7,9,2
80,7,10,2
81,8,0,2
82,8,1,2
83,8,2,2
84,8,3,2
85,8,4,2
86,8,5,2
87,8,6,2
88,8,7,2
89,8,9,2
90,8,10,2
91,9,0,2
92,9,1,2
93,9,2,2
94,9,3,2
95,9,4,2
96,9,5,2
97,9,6,2
98,9,7,2
99,9,8,2
100,9,10,2
101,10,0,2
102,10,1,2
103,10,2,2
104,10,3,2
105,10,4,2
106,10,5,2
107,10,6,2
108,10,7,2
109,10,8,2
110,10,9,2
