AI_ID,Genome,Sources
0,"[47, 38, 43, 33, 22, 2, 39, 8]",ga_gen_20.csv:gen0
1,"[44, 32, 38, 30, 28, 11, 32, 18]",ga_gen_20.csv:gen2
2,"[35, 37, 40, 47, 38, 32, 12, 10]",ga_gen_20.csv:gen4
3,"[50, 23, 12, 31, 20, 22, 19, 15]",ga_gen_20.csv:gen6
4,"[8, 46, 8, 12, 18, 37, 14, 14]",ga_gen_20.csv:gen8
5,"[28, 10, 47, 29, 34, 15, 7, 23]",ga_gen_20.csv:gen10
6,"[33, 5, 41, 38, 48, 14, 23, 48]",ga_gen_20.csv:gen12
7,"[16, 45, 23, 47, 22, 43, 42, 11]",ga_gen_20.csv:gen14
8,"[29, 30, 44, 43, 50, 42, 34, 37]",ga_gen_20.csv:gen16
9,"[41, 39, 32, 33, 49, 8, 9, 3]",ga_gen_20.csv:gen18
10,"[23, 5, 40, 47, 22, 18, 31, 26]",ga_gen_20.csv:gen19
11,"[5, 3, 39, 14, 37, 14, 40, 3]",ga_gen_100.csv:gen0
12,"[14, 27, 49, 32, 28, 35, 20, 38]",ga_gen_100.csv:gen2
13,"[6, 2, 27, 22, 20, 25, 22, 15]",ga_gen_100.csv:gen4
14,"[12, 17, 16, 27, 32, 31, 37, 36]",ga_gen_100.csv:gen6
15,"[20, 14, 28, 24, 21, 37, 22, 41]",ga_gen_100.csv:gen8
16,"[12, 21, 18, 19, 18, 37, 29, 5]",ga_gen_100.csv:gen10
17,"[8, 27, 46, 32, 33, 27, 11, 38]",ga_gen_100.csv:gen12
18,"[48, 18, 34, 30, 14, 7, 48, 12]",ga_gen_100.csv:gen14
19,"[16, 14, 26, 28, 16, 21, 37, 19]",ga_gen_100.csv:gen16
20,"[31, 11, 21, 43, 27, 43, 32, 23]",ga_gen_100.csv:gen18
21,"[6, 33, 3, 34, 30, 11, 43, 45]",ga_gen_100.csv:gen20
22,"[20, 9, 8, 29, 24, 22, 24, 16]",ga_gen_100.csv:gen22
23,"[20, 24, 35, 35, 29, 33, 41, 24]",ga_gen_100.csv:gen24
24,"[35, 20, 4, 47, 29, 41, 38, 23]",ga_gen_100.csv:gen26
25,"[5, 32, 15, 33, 43, 15, 16, 24]",ga_gen_100.csv:gen28
26,"[35, 1, 36, 28, 3, 27, 25, 8]",ga_gen_100.csv:gen30
27,"[49, 6, 21, 41, 36, 33, 33, 30]",ga_gen_100.csv:gen32
28,"[24, 29, 23, 22, 18, 37, 42, 11]",ga_gen_100.csv:gen34
29,"[26, 44, 12, 0, 7, 20, 21, 27]",ga_gen_100.csv:gen36
30,"[30, 31, 21, 20, 27, 35, 35, 17]",ga_gen_100.csv:gen38
31,"[24, 12, 14, 46, 39, 4, 15, 18]",ga_gen_100.csv:gen40
