AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
0,"[47, 38, 43, 33, 22, 2, 39, 8]",ga_gen_20.csv:gen0,0,0,1,0.5
1,"[44, 32, 38, 30, 28, 11, 32, 18]",ga_gen_20.csv:gen2,0,0,1,0.5
2,"[35, 37, 40, 47, 38, 32, 12, 10]",ga_gen_20.csv:gen4,0,0,0,0.0
3,"[50, 23, 12, 31, 20, 22, 19, 15]",ga_gen_20.csv:gen6,0,0,0,0.0
4,"[8, 46, 8, 12, 18, 37, 14, 14]",ga_gen_20.csv:gen8,0,0,0,0.0
5,"[28, 10, 47, 29, 34, 15, 7, 23]",ga_gen_20.csv:gen10,0,0,0,0.0
6,"[33, 5, 41, 38, 48, 14, 23, 48]",ga_gen_20.csv:gen12,0,0,0,0.0
7,"[16, 45, 23, 47, 22, 43, 42, 11]",ga_gen_20.csv:gen14,0,0,0,0.0
8,"[29, 30, 44, 43, 50, 42, 34, 37]",ga_gen_20.csv:gen16,0,0,0,0.0
9,"[41, 39, 32, 33, 49, 8, 9, 3]",ga_gen_20.csv:gen18,0,0,0,0.0
10,"[23, 5, 40, 47, 22, 18, 31, 26]",ga_gen_20.csv:gen19,0,0,0,0.0
